OBJECTID,Zip Code,Index Score,Index Quartile,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR
60,90210,0.173520052,1,135,7,142,1596914,1731079,0.05185,0.084015169,0.03060,0.05220,3,0,0,253322,2.1057,155,0,108,15,32,0,0.0000,0.6968,0.0968,0.2065,0.0000
67,90292,0.307552413,1,94,9,103,1347688,1387897,0.09574,0.029835541,-0.06020,0.42110,19,7,0.368421053,5002618,228.7455,4081,209,1342,1453,215,2,0.0649,0.4166,0.4511,0.0667,0.0006
74,90732,0.254646011,1,28,4,32,532147,600610,0.14286,0.1286543,-0.01240,0.10245,1,0,0,132332,1.5301,136,0,10,122,4,0,0.0000,0.0735,0.8971,0.0294,0.0000
79,91304,0.260517098,1,87,4,91,1080220,1250065,0.04598,0.15723186,0.10636,0.12549,5,1,0.2,306777,4.8793,241,0,15,146,67,0,0.0000,0.0658,0.6404,0.2939,0.0000
80,91306,0.257260568,1,88,6,94,786553,844289,0.06818,0.073403827,0.00489,0.05600,3,1,0.333333333,165406,1.8098,150,0,8,104,0,0,0.0000,0.0714,0.9286,0.0000,0.0000
81,91307,0.281285559,1,47,2,49,1469982,1615510,0.04255,0.098999852,0.05410,0.04980,2,1,0.5,122545,2.6076,75,0,12,41,22,0,0.0000,0.1600,0.5467,0.2933,0.0000
82,91311,0.248665727,1,119,12,131,1156821,1237111,0.10084,0.069405725,-0.02860,0.08300,5,2,0.4,293314,5.3698,220,0,111,84,13,0,0.0000,0.5337,0.4038,0.0625,0.0000
84,91324,0.294926345,1,199,9,208,4516411,4836697,0.04523,0.070916044,0.02460,0.08000,6,2,0.333333333,1058782,19.9571,993,18,406,389,71,0,0.0204,0.4593,0.4400,0.0803,0.0000
85,91325,0.246629736,1,80,2,82,645584,775733,0.02500,0.201598862,0.17229,0.14567,9,0,0,267495,4.7112,231,0,68,108,26,0,0.0000,0.3366,0.5347,0.1287,0.0000
86,91326,0.301880468,1,22,7,29,718605,757439,0.31818,0.054040815,-0.20038,0.05260,4,2,0.5,779849,36.9258,755,90,334,300,31,0,0.1192,0.4424,0.3974,0.0411,0.0000
88,91335,0.30520815,1,330,6,336,2536379,2582909,0.01818,0.01834505,0.00016,0.02210,15,2,0.133333333,621575,10.1956,544,4,223,203,62,0,0.0081,0.4533,0.4126,0.1260,0.0000
91,91344,0.265810788,1,136,2,138,1854985,1860985,0.01471,0.003234528,-0.01130,0.00302,4,0,0,204132,2.868,123,0,3,103,0,0,0.0000,0.0283,0.9717,0.0000,0.0000
94,91356,0.257395231,1,146,7,153,1298058,1465988,0.04795,0.129370182,0.07770,0.06910,1,0,0,21266,0.3997,14,0,0,14,0,0,0.0000,0.0000,1.0000,0.0000,0.0000
95,91364,0.216495186,1,266,7,273,2008245,2138234,0.02632,0.06472766,0.03740,0.06000,3,1,0.333333333,565623,12.5092,428,38,242,130,10,0,0.0905,0.5762,0.3095,0.0238,0.0000
96,91367,0.254493646,1,72,4,76,1904717,1933124,0.05556,0.014914027,-0.03850,0.09270,9,4,0.444444444,2368757,49.4627,2121,32,948,823,91,0,0.0169,0.5005,0.4345,0.0480,0.0000
104,91436,0.267151132,1,48,3,51,846473,879736,0.06250,0.039295996,-0.02180,0.04510,4,1,0.25,376834,6.7936,317,14,127,153,13,0,0.0456,0.4137,0.4984,0.0423,0.0000
105,91504,0.300411189,1,69,12,81,450950,886886,0.17391,0.966705843,0.67534,0.65974,6,3,0.5,628768,9.7017,402,10,176,187,13,10,0.0253,0.4444,0.4722,0.0328,0.0253
